,favorite_count,followers_count,retweet_count,tweet_id
2017,997,3768973,397,672082170312290304
2018,1385,3768973,560,672068090318987265
2019,8955,3768975,4494,671896809300709376
2020,1407,3768975,611,671891728106971137
2021,3667,3768975,1486,671882082306625538
2022,1497,3768976,746,671879137494245376
2023,1322,3768976,599,671874878652489728
2024,1187,3768976,545,671866342182637568
2025,973,3768976,501,671855973984772097
2026,7479,3768976,3793,671789708968640512
2027,1263,3768977,569,671768281401958400
2028,1781,3768977,996,671763349865160704
2029,1420,3768977,838,671744970634719232
2030,774,3768977,244,671743150407421952
2031,1527,3768977,815,671735591348891648
2032,9073,3768977,4766,671729906628341761
2033,13615,3768977,7884,671561002136281088
2034,963,3768977,228,671550332464455680
2035,1437,3768977,648,671547767500775424
2036,2114,3768977,1140,671544874165002241
2037,1159,3768977,613,671542985629241344
2038,986,3768977,434,671538301157904385
2039,1247,3768977,440,671536543010570240
2040,1088,3768977,627,671533943490011136
2041,892,3768977,280,671528761649688577
2042,1488,3768977,579,671520732782923777
2043,1006,3768978,317,671518598289059840
2044,1728,3768978,785,671511350426865664
2045,7465,3768978,3840,671504605491109889
2046,975,3768980,479,671497587707535361
2047,1070,3768980,514,671488513339211776
2048,617,3768982,225,671486386088865792
2049,804,3768982,252,671485057807351808
2050,1509,3768982,802,671390180817915904
2051,1185,3768982,321,671362598324076544
2052,424,3768982,156,671357843010908160
2053,504,3768982,119,671355857343524864
2054,1024,3768982,471,671347597085433856
2055,783,3768982,238,671186162933985280
2056,1187,3768982,377,671182547775299584
2057,932,3768983,385,671166507850801152
2058,1755,3768984,1194,671163268581498880
2059,397,3768984,89,671159727754231808
2060,764,3768985,238,671154572044468225
2061,711,3768986,165,671151324042559489
2062,708,3768986,251,671147085991960577
2063,1240,3768987,705,671141549288370177
2064,993,3768987,445,671138694582165504
2065,795,3768987,212,671134062904504320
2066,3709,3768987,2749,671122204919246848
2067,1424,3768987,834,671115716440031232
2068,1218,3768987,476,671109016219725825
2069,1168,3768987,315,670995969505435648
2070,25673,3768987,9509,670842764863651840
2071,628,3768988,212,670840546554966016
2072,1180,3768988,751,670838202509447168
2073,472,3768988,134,670833812859932673
2074,775,3768988,242,670832455012716544
2075,5930,3768988,4452,670826280409919488
2076,820,3768989,204,670823764196741120
2077,647,3768989,105,670822709593571328
2078,3385,3768990,1697,670815497391357952
2079,1195,3768990,291,670811965569282048
2080,1225,3768990,538,670807719151067136
2081,2090,3768990,1029,670804601705242624
2082,360,3768990,95,670803562457407488
2083,775,3768990,260,670797304698376195
2084,888,3768990,297,670792680469889025
2085,698,3768990,254,670789397210615808
2086,638,3768991,217,670786190031921152
2087,869,3768991,428,670783437142401025
2088,1680,3768991,857,670782429121134593
2089,827,3768991,312,670780561024270336
2090,345,3768991,77,670778058496974848
2091,1147,3768991,460,670764103623966721
2092,473,3768991,121,670755717859713024
2093,1023,3768991,556,670733412878163972
2094,882,3768991,401,670727704916926465
2095,1297,3768991,542,670717338665226240
2096,807,3768991,401,670704688707301377
2097,628,3768991,263,670691627984359425
2098,793,3768991,314,670679630144274432
2099,264,3768991,45,670676092097810432
