favorite_count,followers_count,retweet_count,tweet_id
39492,3768791,8842,892420643555336193
33786,3768791,6480,892177421306343426
25445,3768791,4301,891815181378084864
42863,3768791,8925,891689557279858688
41016,3768791,9721,891327558926688256
20548,3768791,3240,891087950875897856
12053,3768791,2142,890971913173991426
66596,3768791,19548,890729181411237888
28187,3768791,4403,890609185150312448
32467,3768792,7684,890240255349198849
31127,3768793,7584,890006608113172480
28208,3768916,5116,889880896479866881
38745,3768793,8502,889665388333682689
27633,3768793,4705,889638837579907072
15329,3768793,2309,889531135344209921
25712,3768793,5635,889278841981685760
29555,3768793,4681,888917238123831296
26021,3768793,4535,888804989199671297
20267,3768793,3722,888554962724278272
22144,3768796,3637,888078434458587136
30690,3768796,5584,887705289381826560
46940,3768796,12053,887517139158093824
70007,3768796,18813,887473957103951883
34223,3768796,10713,887343217045368832
31045,3768797,6147,887101392804085760
35786,3768797,8045,886983233522544640
12286,3768798,3420,886736880519319552
22802,3768798,4597,886680336477933568
21488,3768798,3297,886366144734445568
117,3768798,4,886267009285017600
28437,3768798,6506,886258384151887873
1574,3768799,106,886054160059072513
33299,3768799,7043,885984800019947520
36592,3768801,6642,885528943205470208
20739,3768801,3876,885518971528720385
73157,3768801,19188,885311592912609280
22304,3768801,4526,885167619883638784
78881,3768801,19149,884925521741709313
28429,3768801,6042,884876753390489601
24716,3768801,5076,884562892145688576
27443,3768802,5836,884441805382717440
74192,3768802,21105,884247878851493888
20719,3768802,3099,884162670584377345
22269,3768801,3559,883838122936631299
46741,3768801,10336,883482846933004288
22932,3768801,3802,883360690899218434
37810,3768801,6900,883117836046086144
24358,3768801,4086,882992080364220416
28810,3768802,5086,882762694511734784
28327,3768802,6303,882627270321602560
45745,3768803,12013,882268110199369728
29843,3768806,5162,882045870035918850
24708,3768807,3516,881906580714921986
51390,3768807,11026,881666595344535552
129,3768930,7,881633300179243008
50326,3768807,16564,881536004380872706
23462,3768807,5328,881268444196462592
17288,3768807,2871,880935762899988482
21667,3768807,3957,880872448815771648
28997,3768807,6500,880465832366813184
27561,3768807,4398,880221127280381952
28085,3768807,4506,880095782870896641
22609,3768807,3615,879862464715927552
313,3768807,10,879674319642796034
23778,3768807,3300,879492040517615616
107834,3768807,45655,879415818425184262
17061,3768807,3239,879376492567855104
42743,3768807,7118,879130579576475649
22978,3768807,4890,879050749262655488
19265,3768807,2793,879008229531029506
19708,3768807,4282,878776093423087618
30835,3768807,7510,878604707211726852
7890,3768807,1338,878404777348136964
22047,3768807,6925,878316110768087041
7890,3768807,1338,878281511006478336
42743,3768807,7118,878057613040115712
81450,3768930,19908,877736472329191424
1895,3768807,82,877611172832227328
23188,3768809,3973,877556246731214848
27835,3768809,5377,877316821321428993
27661,3768809,5829,877201837425926144
21069,3768809,3493,876838120628539392
23789,3768809,4775,876537666061221889
19086,3768809,2499,876484053909872640
28392,3768809,4872,876120275196170240
25710,3768809,4478,875747767867523072
22346,3768810,5114,875144289856114688
27915,3768811,6303,875097192612077568
25948,3768811,4895,875021211251597312
28371,3768811,4825,874680097055178752
54493,3768811,15442,874434818259525634
26563,3768812,4284,874296783580663808
23061,3768812,4107,874057562936811520
35406,3768812,10926,874012996292530176
54897,3768812,12435,873697596434513921
24757,3768812,4110,873580283840344065
7435,3768812,1656,873337748698140672
7435,3768812,1656,873213775632977920
27918,3768812,5632,872967104147763200
15006,3768813,3858,872820683541237760
717,3768813,31,872668790621863937
21254,3768813,3871,872620804844003328
41474,3768813,9365,872486979161796608
34982,3768813,6606,872261713294495745
35224,3768813,8493,872122724285648897
38995,3768813,11810,871879754684805121
20716,3768936,3641,871762521631449091
20687,3768813,3608,871515927908634625
24841,3768813,5956,871166179821445120
21403,3768813,5729,871102520638267392
23174,3768813,3972,871032628920680449
33689,3768813,6348,870804317367881728
120,3768814,3,870726314365509632
12767,3768814,2798,870656317836468226
84753,3768814,27502,870374049280663552
22375,3768814,4355,870308999962521604
37660,3768814,8787,870063196459192321
43546,3768815,10580,869772420881756160
29014,3768815,6680,869702957897576449
16431,3768815,3300,869596645499047938
21052,3768815,4004,869227993411051520
54897,3768815,12435,868880397819494401
10485,3768815,2219,868639477480148993
28165,3768815,6234,868622495443632128
10485,3768815,2219,868552278524837888
24905,3768815,4410,867900495410671616
35055,3768815,7740,867774946302451713
16683,3768815,2673,867421006826221569
1905,3768815,134,867072653475098625
33289,3768815,8367,867051520902168576
106481,3768815,32705,866816280283807744
20805,3768815,5139,866720684873056260
20002,3768815,3707,866686824827068416
106481,3768815,32705,866450705531457537
54493,3768815,15442,866334964761202691
37150,3768815,8882,866094527597207552
26528,3768816,5975,865718153858494464
27416,3768816,5351,865359393868664832
28978,3768816,8162,865006731092295680
33537,3768816,9320,864873206498414592
15134,3768816,3251,864279568663928832
31314,3768816,9552,864197398364647424
21390,3768816,4419,863907417377173506
15875,3768816,4464,863553081350529029
8911,3768816,2664,863471782782697472
24734,3768816,5627,863432100342583297
2349,3768816,105,863427515083354112
9068,3768816,1188,863079547188785154
8911,3768816,2664,863062471531167744
19946,3768817,5421,862831371563274240
17722,3768817,3782,862722525377298433
21405,3768817,5342,862457590147678208
77714,3768817,24997,862096992088072192
37599,3768816,11456,861383897657036800
17961,3768816,4465,861288531465048066
17460,3768816,4093,861005113778896900
7841,3768816,2317,860981674716409858
10583,3768816,879,860924035999428608
7841,3768816,2317,860563773140209665
24590,3768817,5664,860524505164394496
19081,3768816,3724,860276583193509888
17429,3768816,6277,860184849394610176
54793,3768816,33231,860177593139703809
19962,3768816,4320,859924526012018688
16044,3768816,3762,859851578198683649
19391,3768816,1695,859607811541651456
94035,3768816,32589,859196978902773760
35446,3768816,14658,859074603037188101
29844,3768816,8762,858860390427611136
16242,3768817,3746,858843525470990336
22528,3768817,5243,858471635011153920
16459,3768818,3140,858107933456039936
16883,3768818,2790,857989990357356544
35902,3768818,11452,857746408056729600
6213,3768818,1772,857393404942143489
20956,3768818,4903,857263160327368704
242,3768818,20,857214891891077121
5471,3768818,182,857062103051644929
19838,3768818,4342,857029823797047296
41876,3768819,11580,856602993587888130
17075,3768820,3113,856543823941562368
12412,3768820,2053,856526610513747968
11245,3768821,729,856330835276025856
540,3768821,17,856288084350160898
29007,3768821,6818,856282028240666624
354,3768821,28,855862651834028034
4687,3768822,1092,855860136149123072
12449,3768822,2299,855857698524602368
47679,3768822,19118,855851453814013952
27952,3768822,5905,855818117272018944
31563,3768822,8946,855459453768019968
26494,3768822,6521,855245323840757760
837,3768821,50,855138241867124737
24116,3768944,6657,854732716440526848
30979,3768821,7546,854482394044301312
19954,3768821,5123,854365224396361728
33792,3768821,8245,854120357044912130
17120,3768821,3419,854010172552949760
30306,3768821,6350,853760880890318849
37042,3768821,11198,853639147608842240
16456,3768821,3913,853299958564483072
7867,3768822,2226,852936405516943360
9610,3768823,2024,852912242202992640
15869,3768823,2371,852672615818899456
17419,3768823,3858,852553447878664193
35201,3768823,10906,852311364735569921
21318,3768824,7530,852226086759018497
12176,3768824,1733,852189679701164033
37930,3768824,10647,851953902622658560
773,3768825,23,851861385021730816
17240,3768825,3808,851591660324737024
25855,3768825,7803,851464819735769094
22011,3768825,6315,851224888060895234
33213,3768825,10285,850753642995093505
13946,3768826,2894,850380195714523136
3631,3768826,365,850333567704068097
17454,3768826,4224,850145622816686080
21874,3768826,5429,850019790995546112
32267,3768827,8366,849776966551130114
22062,3768827,5490,849668094696017920
16978,3768827,3461,849412302885593088
12196,3768827,2088,849336543269576704
32482,3768827,7337,849051919805034497
26990,3768827,4795,848690551926992896
20143,3768827,4012,848324959059550208
8799,3768827,825,848213670039564288
17545,3768827,3421,848212111729840128
18715,3768828,3634,847978865427394560
4703,3768828,479,847971574464610304
25198,3768829,5700,847962785489326080
5910,3768829,1513,847842811428974592
7523,3768829,462,847617282490613760
20130,3768830,3756,847606175596138505
21935,3768830,4773,847251039262605312
21492,3768830,6528,847157206088847362
23028,3768830,3564,847116187444137987
21597,3768831,4381,846874817362120707
48198,3768830,12992,846514051647705089
15250,3768830,3468,846505985330044928
34263,3768830,10154,846153765933735936
33099,3768831,10908,846139713627017216
17192,3768831,3206,846042936437604353
31600,3768831,9815,845812042753855489
27040,3768832,5333,845677943972139009
28385,3768832,14970,845459076796616705
8215,3768831,2056,845397057150107648
25123,3768832,6013,845306882940190720
25743,3768832,8595,845098359547420673
14678,3768832,2891,844979544864018432
16307,3768832,3597,844973813909606400
41876,3768832,11580,844704788403113984
17787,3768832,3516,844580511645339650
14700,3768832,2437,844223788422217728
16275,3768832,3268,843981021012017153
23113,3768832,5200,843856843873095681
18234,3768831,3066,843604394117681152
23218,3768831,6809,843235543001513987
106634,3768831,56373,842892208864923648
16380,3768831,4008,842846295480000512
7292,3768830,1435,842765311967449089
19561,3768830,3921,842535590457499648
26494,3768830,6521,842163532590374912
15145,3768830,3363,842115215311396866
38096,3768831,17399,841833993020538882
27739,3768832,8703,841680585030541313
13703,3768832,4138,841439858740625411
21340,3768831,6056,841320156043304961
17224,3768831,5283,841314665196081154
24841,3768831,5956,841077006473256960
9722,3768831,1960,840761248237133825
49526,3768831,18176,840728873075638272
195,3768831,3,840698636975636481
13323,3768831,1108,840696689258311684
9722,3768831,1960,840632337062862849
17859,3768832,5117,840370681858686976
20863,3768832,6460,840268004936019968
14575,3768832,2579,839990271299457024
29844,3768832,8762,839549326359670784
1996,3768832,159,839290600511926273
29552,3768833,7375,839239871831150596
21237,3768833,4479,838952994649550848
12135,3768833,2341,838921590096166913
792,3768833,37,838916489579200512
33545,3768834,12544,838831947270979586
11849,3768834,1494,838561493054533637
24569,3768835,5452,838476387338051585
34862,3768835,11466,838201503651401729
1819,3768835,366,838150277551247360
150,3768836,0,838085839343206401
19124,3768836,3557,838083903487373313
37150,3768836,8882,837820167694528512
4189,3768836,494,837482249356513284
